# AGN bolometric luminosity data, taken from Shen et al. (2020):
# 2020ApJ.892.17D
# In this file we include all of the data from the paper, for all redshifts and
# observation bands. Units of the luminosity are erg/s. Units of the luminosity 
# function are Mpc^-3 dex^-1.
#
#Wavelength    Redshift    log_L_bol_err    log_L_bol_err    log_Phi    log_Phi_erra
hard_X_ray       0.60          44.42             0.25         -3.58        0.52
hard_X_ray       0.60          45.11             0.26         -4.13        0.56
hard_X_ray       0.60          45.85             0.27         -5.28        0.53
hard_X_ray       0.60          46.32             0.18         -6.28        0.44
hard_X_ray       0.60          46.77             0.16         -7.44        0.39
hard_X_ray       0.60          47.52             0.27         -8.52        0.41
hard_X_ray       0.60          48.48             0.35         -10.50        0.37
hard_X_ray       0.60          43.76             0.00         -3.12        0.21
hard_X_ray       0.60          45.05             0.50         -3.97        0.21
hard_X_ray       0.60          46.40             0.50         -5.97        0.21
hard_X_ray       0.60          47.77             0.50         -8.83        0.34
hard_X_ray       0.60          45.07             0.00         -4.08        0.52
hard_X_ray       0.60          45.41             0.12         -4.61        0.31
hard_X_ray       0.60          45.74             0.12         -5.15        0.23
hard_X_ray       0.60          46.08             0.12         -5.49        0.15
hard_X_ray       0.60          46.42             0.12         -6.20        0.18
hard_X_ray       0.60          46.76             0.12         -7.35        0.50
hard_X_ray       0.60          42.09             0.00         -2.66        0.70
hard_X_ray       0.60          42.38             0.12         -2.49        0.24
hard_X_ray       0.60          42.68             0.12         -2.64        0.17
hard_X_ray       0.60          42.98             0.12         -2.87        0.14
hard_X_ray       0.60          43.29             0.12         -2.90        0.11
hard_X_ray       0.60          43.60             0.12         -3.02        0.09
hard_X_ray       0.60          43.91             0.12         -3.30        0.09
hard_X_ray       0.60          44.24             0.12         -3.51        0.10
hard_X_ray       0.60          44.56             0.12         -3.64        0.11
hard_X_ray       0.60          44.89             0.12         -3.97        0.13
hard_X_ray       0.60          45.22             0.12         -4.26        0.13
hard_X_ray       0.60          45.55             0.12         -4.50        0.13
hard_X_ray       0.60          45.89             0.12         -5.16        0.20
hard_X_ray       0.60          46.23             0.12         -5.66        0.19
hard_X_ray       0.60          46.57             0.12         -6.44        0.26
hard_X_ray       0.60          46.91             0.12         -7.33        0.65
hard_X_ray       0.60          43.69             0.00         -3.08        0.29
hard_X_ray       0.60          44.51             0.32         -3.65        0.23
